local gate - Source voltage	Si gate - Source voltage	Rxx1 - X	Rxx1 - Y	Rxx1 - R	Rxx1 - theta	Rxx2 - X	Rxx2 - Y	Rxx2 - R	Rxx2 - theta	Current - Drain_Current_I	Current - Y	Current - R	Current - theta_Drain_current	Si gate - Current	local gate - Current	
V	V	V	V	V	deg	V	V	V	deg	A	V	V	deg	A	A	
%megasweep	Current - Drain_Current_I:0.0	Current - Frequency:19.100137711	Current - Input configuration:A	Current - Output amplitude:9.9999999748e-07	Current - R:0.0	Current - Sensitivity:500 uV/pA	Current - Time constant:300 ms	Current - Value:0j	Current - Y:0.0	Current - theta_Drain_current:0.0	Magnet - Current field:0.0	Magnet - Field set point:8.0	Magnet - Persistent switch heater:0.0	Magnet - Rate:0.05	Magnet - SwitchHeaterDelay:20.0	Rxx1 - Frequency:13.1	Rxx1 - Input configuration:A-B	Rxx1 - Output amplitude:0.5	Rxx1 - R:0.0	Rxx1 - Sensitivity:1 mV/nA	Rxx1 - Time constant:300 ms	Rxx1 - Value:0j	Rxx1 - X:0.0	Rxx1 - Y:0.0	Rxx1 - theta:0.0	Rxx2 - Frequency:13.100039482	Rxx2 - Input configuration:A-B	Rxx2 - Output amplitude:0.0	Rxx2 - R:0.0	Rxx2 - Sensitivity:500 uV/pA	Rxx2 - Time constant:300 ms	Rxx2 - Value:0j	Rxx2 - X:0.0	Rxx2 - Y:0.0	Rxx2 - theta:0.0	Si gate - Current auto-range:True	Si gate - Current limit:1e-07	Si gate - Current:0.0	Si gate - Integration time (I):20 ms	Si gate - Measurement type:Current	Si gate - Output on:True	Si gate - Source type:Voltage	Si gate - Source voltage auto-range:False	Si gate - Source voltage range:21.0	Si gate - Source voltage:-2.4	local gate - Current auto-range:True	local gate - Current limit:1e-07	local gate - Current:0.0	local gate - Integration time (I):20 ms	local gate - Measurement type:Current	local gate - Output on:True	local gate - Source type:Voltage	local gate - Source voltage auto-range:False	local gate - Source voltage range:2.1	local gate - Source voltage:-1.0	

-1.000000000000000000e+00	-2.399999999999999911e+00	6.991491318331100047e-06	-3.474355025900877081e-08	6.982532795518636703e-06	-3.128755986690521240e-01	7.506151632696855813e-06	-1.590053898326004855e-06	7.692060535191558301e-06	-1.200815963745117188e+01	1.608300954103469849e-04	6.380513514159247279e-05	1.760720624588429928e-04	2.126868247985839844e+01	-6.102580218936282108e-09	-4.446357060317041032e-09
-1.000000000000000000e+00	-2.390000000000000124e+00	6.946313988009933382e-06	-8.649677596395122237e-08	6.944444066903088242e-06	-7.137001156806945801e-01	7.598077445436501876e-06	-1.721535795695672277e-06	7.796180398145224899e-06	-1.275054550170898438e+01	1.807989174267277122e-04	6.872095400467514992e-05	1.963118847925215960e-04	2.049001312255859375e+01	-6.034793997855558700e-09	-4.381861984370516439e-09
-1.000000000000000000e+00	-2.380000000000000338e+00	6.959752226975979283e-06	-4.210174608942907071e-08	6.967154149606358260e-06	-3.041739165782928467e-01	7.567122338514309376e-06	-1.617982320567534771e-06	7.716370419075246900e-06	-1.202475070953369141e+01	1.965187693713232875e-04	7.183707202784717083e-05	2.102334838127717376e-04	1.998333740234375000e+01	-5.981582784642114348e-09	-4.339288928179030336e-09
-1.000000000000000000e+00	-2.370000000000000551e+00	7.020508292043814436e-06	7.301420623662124854e-08	7.031781933619640768e-06	6.460607647895812988e-01	7.429057859553722665e-06	-1.367280788144853432e-06	7.518862730648834258e-06	-1.036865711212158203e+01	1.911251601995900273e-04	6.910294905537739396e-05	1.994244084926322103e-04	2.023103523254394531e+01	-5.937769831376726870e-09	-4.307231016298374016e-09
-1.000000000000000000e+00	-2.360000000000000764e+00	7.062710665195481852e-06	2.105288388065673644e-07	7.066471880534663796e-06	1.771489739418029785e+00	7.205319434433476999e-06	-1.108148126149899326e-06	7.242332685564178973e-06	-8.684516906738281250e+00	1.558946823934093118e-04	5.838735160068608820e-05	1.588609447935596108e-04	2.145949935913085938e+01	-5.894623011926114486e-09	-4.278651211109263386e-09
-1.000000000000000000e+00	-2.350000000000000977e+00	7.037765954009955749e-06	3.265164991717028897e-07	7.035343060124432668e-06	2.708472251892089844e+00	6.929961273272056133e-06	-8.399829880545439664e-07	6.928577931830659509e-06	-6.871827602386474609e+00	1.081063310266472399e-04	4.382900806376710534e-05	1.098903958336450160e-04	2.334116744995117188e+01	-5.859111862349664079e-09	-4.263303043927635372e-09
-1.000000000000000000e+00	-2.340000000000001190e+00	6.946338544366881251e-06	3.977247047259879764e-07	6.937505531823262572e-06	3.317764043807983398e+00	6.585114533663727343e-06	-6.742537834725226276e-07	6.557486813107971102e-06	-5.831914424896240234e+00	7.335565169341862202e-05	3.247268614359200001e-05	7.631417247466742992e-05	2.500041770935058594e+01	-5.815418813170936119e-09	-4.241123896520093695e-09
-1.000000000000000000e+00	-2.330000000000001403e+00	6.792679414502345026e-06	4.491583069921034621e-07	6.748965915903681889e-06	3.833023548126220703e+00	6.192454293341143057e-06	-5.499355779647885356e-07	6.088507234380813316e-06	-5.148640632629394531e+00	5.399123256211169064e-05	2.467286140017677099e-05	5.571117799263447523e-05	2.616826057434082031e+01	-5.776363831699882212e-09	-4.223272842551750728e-09
-1.000000000000000000e+00	-2.320000000000001616e+00	6.575214683834929019e-06	4.746973729652381735e-07	6.558043878612807021e-06	4.161489009857177734e+00	5.747649993281811476e-06	-4.055299029914749553e-07	5.696393145626643673e-06	-3.993182897567749023e+00	4.304964750190265477e-05	2.117205622198525816e-05	4.703855665866285563e-05	2.666990661621093750e+01	-5.741141784199044196e-09	-4.185237045817302715e-09
-1.000000000000000000e+00	-2.310000000000001830e+00	6.359893632179591805e-06	4.875407171311962884e-07	6.341070275084348395e-06	4.414947032928466797e+00	5.365095603337977082e-06	-2.757400636710372055e-07	5.311487711878726259e-06	-2.927793025970458984e+00	3.806025779340416193e-05	1.908050217025447637e-05	4.198725218884646893e-05	2.695916938781738281e+01	-5.698045146829144869e-09	-4.165606970474300397e-09
-1.000000000000000000e+00	-2.300000000000002043e+00	6.133707756816875190e-06	4.885577027380350046e-07	6.114720690675312653e-06	4.585278034210205078e+00	4.981226993550080806e-06	-2.014786275594815379e-07	4.920368155580945313e-06	-2.301285266876220703e+00	3.488516813376918435e-05	1.771319330146070570e-05	3.874821413774043322e-05	2.714713096618652344e+01	-5.659285040593431404e-09	-4.148306143036961657e-09
-1.000000000000000000e+00	-2.290000000000002256e+00	5.898061772313667461e-06	4.837230562770855613e-07	5.875148417544551194e-06	4.727848529815673828e+00	4.609305051417322829e-06	-1.513369625172344968e-07	4.549851837509777397e-06	-1.860241174697875977e+00	3.266287967562675476e-05	1.666070420469623059e-05	3.637240297393873334e-05	2.721827125549316406e+01	-5.621410004152949114e-09	-4.137743925269887768e-09
-1.000000000000000000e+00	-2.280000000000002469e+00	5.664025593432597816e-06	4.798673671757569537e-07	5.641749339702073485e-06	4.880149364471435547e+00	4.286608600523322821e-06	-8.671358386891370174e-08	4.231706043356098235e-06	-1.131617188453674316e+00	3.088077210122719407e-05	1.577612420078366995e-05	3.442242814344353974e-05	2.722764015197753906e+01	-5.582351025879006556e-09	-4.121122998412829475e-09
-1.000000000000000000e+00	-2.270000000000002682e+00	5.437566869659349322e-06	4.687384205226408085e-07	5.420285106083611026e-06	4.960585117340087891e+00	3.972385457018390298e-06	-6.402210317446588306e-08	3.924962129531195387e-06	-9.209622144699096680e-01	2.938814577646553516e-05	1.506189437350258231e-05	3.281654790043830872e-05	2.728719329833984375e+01	-5.544984027494592738e-09	-4.102806094863353792e-09
-1.000000000000000000e+00	-2.260000000000002895e+00	5.221067567617865279e-06	4.515409841587825213e-07	5.205444267630809918e-06	4.972338199615478516e+00	3.699714170579682104e-06	-6.896630111441481858e-08	3.657394017864135094e-06	-1.078172683715820312e+00	2.807860255416017026e-05	1.444387635274324566e-05	3.139808541163802147e-05	2.736348533630371094e+01	-5.508963063505234459e-09	-4.084359961353811741e-09
-1.000000000000000000e+00	-2.250000000000003109e+00	4.996613824914675206e-06	4.376672677608439699e-07	4.983621693099848926e-06	5.033002376556396484e+00	3.405086999919149093e-06	-5.435720495938767272e-08	3.360350319780991413e-06	-9.066751599311828613e-01	2.667332591954618692e-05	1.371943562844535336e-05	2.979512100864667445e-05	2.737750816345214844e+01	-5.472140962581306667e-09	-4.065744185766106966e-09
-1.000000000000000000e+00	-2.240000000000003322e+00	4.813845862372545525e-06	4.320189646023209207e-07	4.804335731023456901e-06	5.168169975280761719e+00	3.166088845318881795e-06	-4.137084275157576485e-08	3.133585551040596329e-06	-7.338423132896423340e-01	2.523814509913790971e-05	1.298793904425110668e-05	2.812570528476499021e-05	2.744516372680664062e+01	-5.431314953341370710e-09	-4.057136848700793053e-09
-1.000000000000000000e+00	-2.230000000000003535e+00	4.639202870748704299e-06	4.287980743811203865e-07	4.632338459487073123e-06	5.308774471282958984e+00	2.983179911097977310e-06	-1.663416782093918300e-08	2.953145667561329901e-06	-2.894582748413085938e-01	2.357228368055075407e-05	1.220721060235518962e-05	2.628217589517589658e-05	2.764097213745117188e+01	-5.394030111460779153e-09	-4.048018809044151567e-09
-1.000000000000000000e+00	-2.220000000000003748e+00	4.476851245271973312e-06	4.177563255325367209e-07	4.470359272090718150e-06	5.355778217315673828e+00	2.790043026834609918e-06	-1.229345958364547187e-08	2.759077233349671587e-06	-2.761974632740020752e-01	2.181858508265577257e-05	1.137455456046154723e-05	2.436043541820254177e-05	2.778931617736816406e+01	-5.351858956004207357e-09	-4.031948108718097501e-09
-1.000000000000000000e+00	-2.210000000000003961e+00	4.329099283495452255e-06	4.081294378011079971e-07	4.324596375226974487e-06	5.415484428405761719e+00	2.596045533209689893e-06	-3.396794312493511825e-08	2.569083790149306878e-06	-7.919723391532897949e-01	2.020102510869037360e-05	1.054005679179681465e-05	2.254762694064993411e-05	2.781022071838378906e+01	-5.318196993897572611e-09	-4.018422039564484294e-09
-1.000000000000000000e+00	-2.200000000000004174e+00	4.191794687358196825e-06	4.018016568352322793e-07	4.189694664091803133e-06	5.501872539520263672e+00	2.475536120982724242e-06	-5.768761468516458990e-08	2.454689365549711511e-06	-1.350876450538635254e+00	1.871253334684297442e-05	9.794678589969407767e-06	2.090962880174629390e-05	2.788847923278808594e+01	-5.281329151785030263e-09	-4.007270071326729521e-09
-1.000000000000000000e+00	-2.190000000000004388e+00	4.059291313751600683e-06	3.931068306428642245e-07	4.057555997860617936e-06	5.563035488128662109e+00	2.367632987443357706e-06	-6.559343290746255661e-08	2.355176320634200238e-06	-1.607607960700988770e+00	1.730834446789231151e-05	9.143360330199357122e-06	1.937874367285985500e-05	2.810461044311523438e+01	-5.243330214454999805e-09	-3.994803154938608714e-09
-1.000000000000000000e+00	-2.180000000000004601e+00	3.933922471333062276e-06	3.927357852262503002e-07	3.932430900022154674e-06	5.736366748809814453e+00	2.314632638444891199e-06	-6.007925179574158392e-08	2.304071813341579400e-06	-1.443085789680480957e+00	1.603969212737865746e-05	8.541900569980498403e-06	1.798652556317392737e-05	2.830912590026855469e+01	-5.207513975591382405e-09	-3.975001217071394422e-09
-1.000000000000000000e+00	-2.170000000000004814e+00	3.805484993790742010e-06	3.864661266561597586e-07	3.803831077675567940e-06	5.825022220611572266e+00	2.208716523455223069e-06	-4.817247756250253587e-08	2.183738843086757697e-06	-1.283272981643676758e+00	1.482432708144187927e-05	7.904180165496654809e-06	1.660932321101427078e-05	2.831142616271972656e+01	-5.170277095345454654e-09	-3.963168904164149353e-09
-1.000000000000000000e+00	-2.160000000000005027e+00	3.681712314573815092e-06	3.737993949926021742e-07	3.681758698803605512e-06	5.820871829986572266e+00	2.106354713760083541e-06	-3.176406337956905190e-08	2.090647512886789627e-06	-8.595417141914367676e-01	1.368795528833288699e-05	7.241153525683330372e-06	1.531843918201047927e-05	2.813733291625976562e+01	-5.131936209323839648e-09	-3.946337034932412280e-09
-1.000000000000000000e+00	-2.150000000000005240e+00	3.565800625437987037e-06	3.600284799176733941e-07	3.564276312317815609e-06	5.791930198669433594e+00	1.994493004531250335e-06	3.486872124369710946e-09	1.975290160771692172e-06	1.234659031033515930e-01	1.266354411200154573e-05	6.694800958939595148e-06	1.417698786099208519e-05	2.810172653198242188e+01	-5.093176991266545883e-09	-3.936711845398122023e-09
